Temperature,L,R,A_M,Color,Spectral_Class,Type
33421,352000.0,67.0,-5.79,Blue,O,4
3459,100000.0,1289.0,-10.7,Red,M,5
3605,126000.0,1124.0,-10.81,Red,M,5
3615,200000.0,1635.0,-11.33,Red,M,5
3399,117000.0,1486.0,-10.92,Red,M,5
3610,132000.0,1522.0,-10.86,Red,M,5
3553,145000.0,1324.0,-11.03,Red,M,5
4015,282000.0,1534.0,-11.39,Red,K,5
3625,74000.0,876.0,-10.25,Red,M,5
6850,229000.0,1467.0,-10.07,Red,G,5
3780,200000.0,1324.0,-10.7,Red,M,5
3323,0.00043,0.0912,17.16,Red,M,0
3531,0.00093,0.0976,19.94,Red,M,0
3218,0.00054,0.11,20.02,Red,M,0
3146,0.00015,0.0932,16.92,Red,M,0
3511,0.00064,0.109,17.12,Red,M,0
3225,0.00076,0.121,19.63,Red,M,0
2935,0.00087,0.0932,16.88,Red,M,0
2861,0.00019,0.0899,16.71,Red,M,0
2856,0.000896,0.0782,19.56,Red,M,0
2731,0.000437,0.0856,18.09,Red,M,0
3095,0.00019,0.492,10.87,Red,M,1
3607,0.00023,0.38,10.34,Red,M,1
3100,0.008,0.31,11.17,Red,M,1
2989,0.0087,0.34,13.12,Red,M,1
3542,0.0009,0.62,14.23,Red,M,1
3243,0.0023,0.73,14.75,Red,M,1
3091,0.0081,0.24,11.43,Red,M,1
3598,0.0011,0.56,14.26,Red,M,1
3324,0.0034,0.34,12.23,Red,M,1
3541,0.0013,0.256,14.33,Red,M,1
13420,0.00059,0.00981,13.67,Blue White,B,2
21020,0.0015,0.0112,11.52,Blue,B,2
18290,0.0013,0.00934,12.78,Blue,B,2
14520,0.00082,0.00972,11.92,Blue White,B,2
11900,0.00067,0.00898,11.38,Blue white,B,2
8924,0.00028,0.00879,14.87,Blue white,A,2
12912,0.00071,0.00945,12.83,Blue white,B,2
14732,0.00011,0.00892,12.89,white,F,2
7723,0.00014,0.00878,14.81,White,A,2
12984,0.00088,0.00996,11.23,Blue White,B,2
29560,188000.0,6.02,-4.01,Blue-white,B,3
8945,38.0,2.487,0.12,Blue-White,A,3
14060,1092.0,5.745,-2.04,Blue-white,A,3
16390,1278.0,5.68,-3.32,Blue-white,B,3
25070,14500.0,5.92,-3.98,Blue-white,B,3
28700,16790.0,6.4,-4.09,Blue-white,B,3
26140,14520.0,5.49,-3.8,Blue-white,B,3
20120,4720.0,6.78,-3.4,Blue-white,B,3
13023,998.0,6.21,-1.38,Blue-white,A,3
37800,202900.0,6.86,-4.56,Blue,O,3
25390,223000.0,57.0,-5.92,Blue,O,4
11567,251000.0,36.0,-6.245,Blue,O,4
12675,452000.0,83.0,-5.62,Blue,O,4
5752,245000.0,97.0,-6.63,Blue,O,4
8927,239000.0,35.0,-7.34,Blue,O,4
7282,131000.0,24.0,-7.22,Blue,O,4
19923,152000.0,73.0,-5.69,Blue,O,4
26373,198000.0,39.0,-5.83,Blue,O,4
17383,342900.0,30.0,-6.09,Blue,O,4
9373,424520.0,24.0,-5.99,Blue,O,4
3570,320000.0,1480.0,-7.58,Red,M,5
3500,138000.0,1420.0,-8.18,Red,M,5
4287,630000.0,1315.0,-9.2,Orange,K,5
26000,316000.0,1679.0,-9.1,Blue,B,5
3600,240000.0,1190.0,-7.89,Red,M,5
3614,145000.0,1553.0,-7.71,Red,M,5
18000,200000.0,1045.0,-8.3,Blue,O,5
11000,170000.0,1779.0,-9.9,Blue-white,B,5
12100,120000.0,708.9,-7.84,Blue-white,B,5
24490,248490.0,1134.5,-8.24,Blue-white,B,5
2831,0.000231,0.0915,16.21,Red,M,0
2914,0.000631,0.116,18.39,Red,M,0
3419,0.000245,0.126,17.56,Red,M,0
3218,0.000452,0.0987,17.34,Red,M,0
3453,0.000621,0.0773,17.08,Red,M,0
2889,0.000352,0.0973,16.93,Red,M,0
2968,0.000461,0.119,17.45,Red,M,0
3484,0.000551,0.0998,16.67,Red,M,0
2778,0.000849,0.112,19.45,Red,M,0
3523,0.000957,0.129,16.35,Red,M,0
3462,0.0053,0.148,11.47,Red,M,1
3257,0.0024,0.46,10.73,Red,M,1
2994,0.0072,0.28,13.45,Red,M,1
3212,0.0016,0.378,12.854,Red,M,1
3523,0.0054,0.319,12.43,Red,M,1
3598,0.0027,0.67,13.667,Red,M,1
3142,0.00132,0.258,14.12,Red,M,1
3496,0.00125,0.336,14.94,Red,M,1
3324,0.0065,0.471,12.78,Red,M,1
3463,0.0027,0.675,14.776,Red,M,1
16790,0.0014,0.0121,12.87,Blue,B,2
15680,0.00122,0.0114,11.92,Blue,B,2
14982,0.00118,0.0113,12.23,Blue,B,2
13340,0.00109,0.0116,12.9,Blue,B,2
18340,0.00134,0.0124,11.22,Blue,B,2
19920,0.00156,0.0142,11.34,Blue,B,2
24020,0.00159,0.0127,10.55,Blue,B,2
23092,0.00132,0.0104,10.18,Blue,B,2
17920,0.00111,0.0106,11.66,Blue,B,2
19360,0.00125,0.00998,11.62,Blue,B,2
22350,12450.0,6.36,-3.67,Blue-white,B,3
10012,552.0,5.856,0.013,Blue-white,A,3
13089,788.0,5.992,-0.12,Blue-white,A,3
22012,6748.0,6.64,-2.55,Blue-white,B,3
34190,198200.0,6.39,-4.57,Blue,O,3
32460,173800.0,6.237,-4.36,Blue,O,3
9320,29.0,1.91,1.236,Blue-white,A,3
19400,10920.0,6.03,-3.08,Blue-white,B,3
17140,883.0,5.653,-2.64,Blue-white,B,3
8250,9.25,1.93,-0.98,yellow-white,F,3
23678,244290.0,35.0,-6.27,Blue,O,4
12749,332520.0,76.0,-7.02,Blue,O,4
9383,342940.0,98.0,-6.98,Blue,O,4
23440,537430.0,81.0,-5.975,Blue,O,4
16787,246730.0,62.0,-6.35,Blue,O,4
18734,224780.0,46.0,-7.45,Blue,O,4
9892,593900.0,80.0,-7.262,Blue,O,4
10930,783930.0,25.0,-6.224,Blue,O,4
23095,347820.0,86.0,-5.905,Blue,O,4
21738,748890.0,92.0,-7.346,Blue,O,4
24145,382993.0,1494.0,-8.84,Blue-white,B,5
38234,272830.0,1356.0,-9.29,Blue,O,5
32489,648430.0,1948.5,-10.84,Blue,O,5
27739,849420.0,1252.0,-7.59,Blue-white,B,5
21904,748490.0,1130.0,-7.67,Blue-white,B,5
38940,374830.0,1356.0,-9.93,Blue,O,5
30839,834042.0,1194.0,-10.63,Blue,O,5
8829,537493.0,1423.0,-10.73,White,A,5
9235,404940.0,1112.0,-11.23,White,A,5
37882,294903.0,1783.0,-7.8,Blue,O,5
4891,9.205806039162521,4.226152,2.3399,Pale Yellow Orange,K,6
4807,17.623656758208195,6.051552,1.2497,Pale Yellow Orange,G,6
4984,21.032546845280006,6.1509495,1.7347,Pale Yellow Orange,G,6
4640,25.698719265020546,7.845009,1.2925,Pale Yellow Orange,K,6
4596,31.196188249953433,8.808558,0.87,Pale Yellow Orange,K,6
4638,31.24933539454554,8.656908,1.0238,Pale Yellow Orange,K,6
6538,33.90107475082699,4.538386,0.5098,Yellowish White,B,6
4943,34.59045595344887,8.019873,1.1246,Pale Yellow Orange,K,6
4912,35.13236120602683,8.183982,0.434,Pale Yellow Orange,G,6
4681,36.69643338305171,9.210648,1.0245,Pale Yellow Orange,G,6
4810,39.30352652410975,9.026849,1.0768,Pale Yellow Orange,G,6
4903,41.793883668775614,8.960947,0.9707,Pale Yellow Orange,K,6
4925,43.24116183604205,9.031908,0.8303,Pale Yellow Orange,G,6
4752,43.532439100823396,9.732385,0.5914,Pale Yellow Orange,K,6
4835,44.11423472009549,9.465432,0.8105,Pale Yellow Orange,G,6
4721,44.292504369475886,9.949866,0.3845,Pale Yellow Orange,G,6
4558,47.65811953634619,11.068224,0.6331,Pale Yellow Orange,K,6
4651,47.875156485239806,10.6573,0.6262,Pale Yellow Orange,K,6
4707,48.49726450269646,10.473673,0.7492,Pale Yellow Orange,G,6
4880,48.64686069965,9.756322,0.4663,Pale Yellow Orange,G,6
5073,49.61218460338001,9.120061,0.5716,Pale Yellow Orange,G,6
7201,51.29572063751013,4.6014357,0.619,Yellowish White,F,6
4806,51.30018054912646,10.330876,0.7233,Pale Yellow Orange,K,6
4711,51.87736454209734,10.813526,0.4445,Pale Yellow Orange,G,6
6960,54.03561602278076,5.0552254,0.4148,Yellowish White,A,6
4652,54.30460430559926,11.342231,0.4409,Pale Yellow Orange,G,6
4963,55.028845075482636,10.03336,0.5002,Pale Yellow Orange,G,6
7557,55.35756432427433,4.3408136,-0.1821,White,B,6
4955,55.95811287505555,10.15088,0.4193,Pale Yellow Orange,K,6
6005,56.942616718407535,6.971456,0.3087,Yellowish White,F,6
4738,56.95073414932415,11.198571,0.4795,Pale Yellow Orange,K,6
4921,58.00336445076139,10.478596,0.6226,Pale Yellow Orange,G,6
7916,63.71476281736864,4.243681,-0.3208,White,B,6
7204,63.75870628478738,5.1260185,-0.6576,Yellowish White,B,6
4875,63.76840430273416,11.196674,0.4902,Pale Yellow Orange,G,6
4823,67.27447402796554,11.749406,0.2293,Pale Yellow Orange,K,6
7489,72.27289070026806,5.050045,-1.1719,Yellowish White,B,6
5149,73.20861382837813,10.750459,-1.0468,Pale Yellow Orange,G,6
8000,73.73696153709737,4.4701138,-0.6066,White,B,6
5016,73.94738794609061,11.386109,0.115,Pale Yellow Orange,K,6
5026,75.95253771250039,11.493246,0.2502,Pale Yellow Orange,G,6
7208,76.22977001244003,5.599365,-0.5501,Yellowish White,B,6
4834,76.61419964736471,12.477436,0.2686,Pale Yellow Orange,K,6
5140,78.63284407728945,11.183722,0.1959,Pale Yellow Orange,G,6
5047,80.68022908870982,11.746946,0.1096,Pale Yellow Orange,K,6
4773,80.78237924002065,13.144705,0.514,Pale Yellow Orange,K,6
7488,83.93915982505847,5.4439106,-1.0119,Yellowish White,B,6
5239,88.27261418328042,11.404686,0.2708,Yellowish,G,6
8646,93.20562397570376,4.3031416,-0.298,White,A,6
8744,94.28013343753175,4.230704,-0.1516,White,B,6
5210,102.55876243185355,12.430538,-0.262,Yellowish,G,6
4450,107.21398202147483,17.417786,-0.2143,Pale Yellow Orange,K,6
9400,112.71634775737598,4.00304,-0.4637,White,A,6
4881,121.55216445826389,15.415677,-0.3024,Pale Yellow Orange,G,6
9011,126.91515863041592,4.6221285,-0.6317,White,A,6
8575,129.75041398892176,5.1609993,-0.7463,White,B,6
4307,146.00720292193364,21.697205,-0.4364,Orange,K,6
9635,149.61196945632207,4.3897243,-0.555,White,A,6
4030,150.92674049967493,25.195711,-0.2057,Orange,M,6
5522,157.60122806865314,13.7162485,-0.9938,Yellowish,G,6
4812,167.4453402542806,18.621544,-0.9422,Pale Yellow Orange,K,6
4814,179.96513747278118,19.283592,-0.745,Pale Yellow Orange,K,6
4891,180.87029400043542,18.730331,-0.9193,Pale Yellow Orange,G,6
4474,186.98097435431086,22.759916,-0.6529,Pale Yellow Orange,K,6
4754,220.4416793186313,21.88869,-1.0406,Pale Yellow Orange,K,6
5315,221.34126629365284,17.544006,-0.8419,Yellowish,G,6
4411,226.03139049665435,25.74479,-1.1374,Pale Yellow Orange,K,6
4582,227.6481609804878,23.943253,-1.4938,Pale Yellow Orange,M,6
4779,237.4647791996776,22.48027,-0.8111,Pale Yellow Orange,K,6
9999,238.27929344470033,5.143703,-0.7135,White,B,6
10920,247.87452155396574,4.398609,-0.6275,Blue-White,B,6
4155,256.5121346674697,30.909443,-0.9759,Orange,M,6
4482,262.22208677085814,26.860914,-1.0366,Pale Yellow Orange,M,6
4152,264.4033052482534,31.431557,-0.5207,Orange,M,6
4760,266.66324670476166,24.010542,-1.4991,Pale Yellow Orange,K,6
8845,266.7679404730892,6.956056,-1.0969,White,A,6
5001,270.00592920453386,21.891796,-1.3807,Pale Yellow Orange,K,6
4579,273.7137472955389,26.289196,-0.5589,Pale Yellow Orange,G,6
4607,276.43475077842226,26.093584,-1.7562,Pale Yellow Orange,M,6
9997,277.087039800891,5.5487585,-1.8629,White,B,6
4737,291.068345796459,25.32749,-0.7354,Pale Yellow Orange,M,6
4321,291.39096880256113,30.466135,-0.9737,Orange,K,6
4792,292.46414227292667,24.809137,-1.1462,Pale Yellow Orange,K,6
7863,300.7740259133802,9.346067,-1.5792,White,B,6
11251,311.6802694039487,4.6467614,-1.0195,Blue-White,B,6
4355,311.79249129074543,31.024027,-1.5588,Orange,K,6
4379,316.1774270040144,30.892439,-1.3122,Orange,M,6
9826,318.53870466807024,6.1587567,-0.829,White,B,6
4476,344.38314149149375,30.85406,-1.6779,Pale Yellow Orange,M,6
12198,359.11090043986604,4.2431564,-0.9648,Blue-White,B,6
4203,367.8724796029184,36.169476,-1.3054,Orange,K,6
4530,385.73272136468336,31.883974,-1.7869,Pale Yellow Orange,K,6
4414,413.8407207276747,34.778255,-1.3614,Pale Yellow Orange,G,6
9995,423.2885532393884,6.8607335,-1.593,White,B,6
12290,425.32008106344955,4.5491133,-0.8608,Blue-White,B,6
12467,506.7809160249602,4.8252006,-1.928,Blue-White,B,6
4421,576.2679577561562,40.9251,-1.5958,Pale Yellow Orange,K,6
4533,586.7217735644039,39.274124,-2.1989,Pale Yellow Orange,G,6
4384,600.8267747570012,42.490147,-2.333,Orange,K,6
4916,620.5152456480071,34.33972,-1.9334,Pale Yellow Orange,K,6
4690,635.7068305566703,38.194023,-1.8662,Pale Yellow Orange,M,6
4284,654.5161052713324,46.44649,-3.095,Orange,K,6
4879,699.7374770339256,37.0211,-2.442,Pale Yellow Orange,M,6
4536,740.3615251799782,44.055397,-2.0402,Pale Yellow Orange,M,6
12300,760.204576222063,6.0719385,-2.1229,Blue-White,B,6
3615,839.0148636786353,73.84479,-2.3907,Orange-Red,M,6
5060,856.7234865985768,38.089474,-2.7694,Pale Yellow Orange,M,6
4711,949.8312198768726,46.26469,-2.5113,Pale Yellow Orange,M,6
4596,1264.1685873182196,56.07096,-2.6732,Pale Yellow Orange,K,6
12825,1340.891261513452,7.4168606,-2.3966,Blue-White,B,6
14991,1349.434744826572,5.445543,-2.5063,Blue-White,B,6
15124,1423.52817191333,5.4953933,-2.5369,Blue-White,B,6
17415,1729.779150329734,4.5687094,-1.9216,Blue-White,B,6
4982,1777.122249441087,56.587147,-3.6974,Pale Yellow Orange,K,6
4926,1945.888077424519,60.57433,-3.5422,Pale Yellow Orange,K,6
4512,2017.4710814385473,73.499466,-3.0721,Pale Yellow Orange,K,6
4588,2190.4689357377433,74.063065,-3.8666,Pale Yellow Orange,M,6
15001,2489.787659693583,7.3871355,-2.706,Blue-White,B,6
4838,2506.40174813507,71.26577,-3.7635,Pale Yellow Orange,M,6
4823,2581.3727731881204,72.76415,-3.5901,Pale Yellow Orange,M,6
5287,1.4607751026633762,1.440359,4.4258,Yellowish,G,7
5883,1.8301239012946233,1.302206,3.9807,Yellowish,G,7
5898,1.922212089282691,1.327684,4.0436,Yellowish,F,7
5706,2.0453382391516484,1.4636353,3.9261,Yellowish,G,7
5762,2.0879472786876163,1.4502277,2.8529,Yellowish,F,7
5395,2.128825106813379,1.669788,3.679,Yellowish,G,7
6089,2.160484232722243,1.3206457,3.8591,Yellowish White,F,7
5491,2.2103255868139264,1.6425759,3.89,Yellowish,G,7
5969,2.269519979279311,1.4085653,3.4832,Yellowish,F,7
5580,2.2851765757935514,1.6177638,4.249,Yellowish,F,7
5273,2.3028694596393833,1.8183633,3.5114,Yellowish,K,7
5683,2.306260652093319,1.5665143,3.7994,Yellowish,G,7
5836,2.380905799894095,1.5091414,3.8442,Yellowish,F,7
5307,2.451412554866803,1.8518901,3.7705,Yellowish,K,7
6073,2.500027062083282,1.4284496,3.7394,Yellowish White,F,7
5334,2.563665490580881,1.8751011,3.7771,Yellowish,G,7
6122,2.571549927767521,1.4252763,3.6778,Yellowish White,F,7
5049,2.5755666547986467,2.0971005,3.3411,Pale Yellow Orange,K,7
6181,2.599626801816259,1.405946,3.6733,Yellowish White,F,7
5999,2.676796105736438,1.514535,3.6132,Yellowish,G,7
6281,2.73202258212451,1.3956892,3.6099,Yellowish White,F,7
6069,2.7426242108599386,1.4979882,3.6507,Yellowish White,F,7
5357,2.810634506398713,1.9465793,3.7313,Yellowish,G,7
6162,2.836966267935317,1.4779205,3.629,Yellowish White,F,7
6257,2.8778966817409675,1.4437172,3.5036,Yellowish White,F,7
6430,2.902539014284951,1.3730135,3.6092,Yellowish White,F,7
6221,2.933883514372781,1.4743572,3.6463,Yellowish White,F,7
6046,2.9460237676703334,1.5641114,3.6279,Yellowish White,F,7
5986,3.009909677813633,1.6129165,3.4803,Yellowish,F,7
6066,3.0351827690315187,1.5774664,3.5106,Yellowish White,F,7
5544,3.0961549764205394,1.9075422,3.4599,Yellowish,G,7
6446,3.153576550366493,1.4240742,3.301,Yellowish White,F,7
6439,3.189921196767497,1.4353929,3.3664,Yellowish White,F,7
6406,3.227632593583738,1.4584038,3.4543,Yellowish White,F,7
5926,3.3254655638397272,1.7302319,3.4354,Yellowish,G,7
5869,3.391781763779496,1.7815176,3.4097,Yellowish,F,7
5937,3.4033148803019144,1.7434987,3.3334,Yellowish,G,7
5574,3.4602934035841746,1.9947001,3.4201,Yellowish,F,7
5722,3.5143972468732367,1.9076576,3.2591,Yellowish,G,7
6138,3.591986250631044,1.6760092,3.2926,Yellowish White,F,7
6714,3.6088262115612255,1.4038727,3.4848,Yellowish White,F,7
6291,3.720020661010577,1.6234266,3.3358,Yellowish White,F,7
6796,3.7543695914553457,1.3974984,2.9836,Yellowish White,F,7
6045,3.894510043258828,1.7989538,3.1843,Yellowish White,F,7
6725,4.101558583611239,1.4918755,2.9716,Yellowish White,F,7
5872,4.148611096058565,1.968049,2.632,Yellowish,F,7
6446,4.189238606981282,1.641273,3.0462,Yellowish White,F,7
6452,4.224901808932418,1.6449702,3.1437,Yellowish White,F,7
6280,4.234520577865941,1.7384944,3.231,Yellowish White,F,7
6929,4.3523211937661515,1.447492,3.1891,Yellowish White,F,7
5902,4.379574542641952,2.001783,3.2008,Yellowish,F,7
6173,4.394891915393627,1.8328198,3.051,Yellowish White,F,7
6254,4.4582863843829355,1.7983166,3.3933,Yellowish White,K,7
5736,4.533415387694262,2.156052,2.9687,Yellowish,G,7
6457,4.60437530556721,1.7147504,3.0576,Yellowish White,F,7
6456,4.758849139952351,1.7436469,2.9721,Yellowish White,F,7
6343,4.8460344413951715,1.8227391,2.8467,Yellowish White,F,7
6473,4.958995853021701,1.7706443,2.8653,Yellowish White,F,7
6436,5.116082752681181,1.8194318,2.8955,Yellowish White,F,7
5998,5.194394329148014,2.110605,2.9846,Yellowish,F,7
6173,5.527080161423763,2.05517,3.0294,Yellowish White,F,7
6656,5.545897849764686,1.7709342,2.8851,Yellowish White,F,7
5863,5.753126407277438,2.3245595,2.6725,Yellowish,F,7
5102,5.785532487274191,3.0789244,2.5787,Pale Yellow Orange,K,7
7320,5.836470565395676,1.5022856,2.7955,Yellowish White,A,7
5436,5.849291611672288,2.7270544,2.8644,Yellowish,G,7
6487,6.051950651992375,1.9475268,2.664,Yellowish White,F,7
5943,6.351628925826089,2.3776467,2.9957,Yellowish,F,7
6339,6.4655102675892,2.1081753,2.8555,Yellowish White,F,7
6816,6.72282994261638,1.8592992,2.4054,Yellowish White,F,7
5343,6.824872701925301,3.0488725,2.598,Yellowish,G,7
6046,6.8948894028051475,2.3935497,2.28,Yellowish White,G,7
5879,7.0104288584666925,2.5518262,2.5889,Yellowish,G,7
7499,7.109863083768517,1.5797523,2.2594,Yellowish White,A,7
5841,7.151706894929972,2.6115482,2.3851,Yellowish,G,7
6747,7.358164175656584,1.9853066,2.645,Yellowish White,F,7
6020,8.147898837708267,2.624469,2.8442,Yellowish White,F,7
6099,9.580972193645772,2.772301,2.0849,Yellowish White,F,7
4795,9.658918601084132,4.5032353,2.2316,Pale Yellow Orange,K,7
7624,10.19700265209294,1.830065,2.2576,White,A,7
7996,10.29697384857392,1.6720269,1.5661,White,A,7
6882,10.317235350671885,2.2596278,1.9713,Yellowish White,F,7
6399,10.512834844937863,2.6379237,2.8609,Yellowish White,F,7
6384,11.194469443731759,2.7352195,1.837,Yellowish White,F,7
5756,11.568841054087581,3.4207635,2.2968,Yellowish,G,7
6484,13.484905850638759,2.9097679,2.1913,Yellowish White,F,7
4781,13.767646030254964,5.408805,1.9601,Pale Yellow Orange,K,7
8438,14.88955765665212,1.8057021,1.6021,White,A,7
8020,15.144665730718627,2.0155222,1.7732,White,A,7
7995,15.389466870017918,2.0448318,1.8324,White,A,7
8015,16.185075047094603,2.086362,1.7602,White,A,7
7979,16.329417525628156,2.1144676,1.394,White,A,7
5202,17.19705198073967,5.10487,1.8878,Yellowish,G,7
9199,17.569364058692223,1.6500949,1.4833,White,A,7
7954,18.807959082311516,2.2835383,1.6575,White,A,7
8767,25.974934526188722,2.2090466,1.123,White,A,7
8920,29.128356161851276,2.2599835,1.2428,White,A,7
7956,35.37899769852212,3.1307135,2.2331,White,A,7
8280,37.22782207112398,2.9649308,0.8797,White,A,7
9738,43.44624724687962,2.3159425,0.3844,White,A,7
7784,48.33978353578124,3.8229544,-0.0434,White,B,7
8000,51.20089004813818,3.7252321,0.5493,White,B,7
9269,60.40803235322087,3.0136194,0.4376,White,B,7
8213,61.29411217058127,3.86693,-0.129,White,A,7
9423,66.56690830707075,3.061238,0.4407,White,A,7
7641,73.3320221368856,4.8863115,-0.6419,White,A,7
10366,79.31877369718086,2.761354,0.1499,Blue-White,B,7
11217,84.71086964952991,2.4372299,0.1091,Blue-White,B,7
9778,94.08894926273203,3.3801026,0.5329,White,A,7
10786,109.2857859052096,2.9939952,-0.9022,Blue-White,B,7
10188,129.41128868254117,3.651458,-0.2535,Blue-White,B,7
13818,136.79532805671613,2.0408099,-0.6524,Blue-White,B,7
9172,141.4072438908712,4.7089596,-0.5885,White,B,7
9566,159.67730666617547,4.6004453,-0.8597,White,A,7
9634,168.41913305370713,4.658521,-0.8221,White,A,7
10269,275.17076176728085,5.240318,-1.0319,Blue-White,B,7
14245,328.3932290347588,2.975302,-0.7316,Blue-White,B,7
16024,418.0232474824412,2.6527045,-1.056,Blue-White,B,7
24244,693.4795228893025,1.4926524349593941,-2.4602,Blue-White,O,7
17766,793.2541797686787,2.972799901742141,-2.6477,Blue-White,O,7
4434,0.05606374736928293,0.40126902,7.8586,Pale Yellow Orange,K,3
4004,0.12989716441085028,0.7489751,8.4839,Orange,K,3
4489,0.15995986822337047,0.66132814,6.844,Pale Yellow Orange,K,3
5024,0.17597148313553565,0.5537519,6.6818,Pale Yellow Orange,K,3
